%time,field.layout.data_offset,field.data0,field.data1
1535301984198276042,0,0.000621080980636,0.0631051063538
1535301984210578918,0,0.00107216800097,0.0653991699219
1535301984218630075,0,0.000581026019063,0.0628881454468
1535301984228826045,0,0.000953911978286,0.0633809566498
1535301984238359928,0,0.000570058997255,0.063441991806
1535301984251655101,0,0.000572920020204,0.0646040439606
1535301984261416912,0,0.000952006026637,0.063129901886
1535301984269557952,0,0.000607967027463,0.0633721351624
1535301984279263019,0,0.000951052003074,0.0630321502686
1535301984290901899,0,0.00103712105192,0.0654411315918
1535301984299480915,0,0.000958205026109,0.0640971660614
1535301984308819055,0,0.000572204007767,0.0636391639709
1535301984318315982,0,0.00107598304749,0.0630350112915
1535301984328958034,0,0.000956059026066,0.0634460449219
1535301984337923049,0,0.000589847972151,0.0629570484161
1535301984349515914,0,0.000941038015299,0.0646240711212
1535301984357928991,0,0.000610113027506,0.0629742145538
1535301984367659091,0,0.000608920992818,0.0630719661713
1535301984379971981,0,0.000962019024882,0.0636169910431
1535301984394664049,0,0.0009748939774,0.0661067962646
1535301984400584936,0,0.000575066020247,0.065495967865
1535301984409100055,0,0.00094389898004,0.0646688938141
1535301984417845010,0,0.000571011973079,0.0623850822449
1535301984428728103,0,0.000978947035037,0.0632140636444
1535301984437464952,0,0.000570058997255,0.0623960494995
1535301984448493957,0,0.000945805979427,0.0631818771362
1535301984457927942,0,0.000607013003901,0.0628368854523
1535301984470418930,0,0.00112009095028,0.0655181407928
1535301984479207038,0,0.000953913026024,0.0636661052704
1535301984487847089,0,0.000946044980083,0.0629770755768
1535301984503638029,0,0.000571965996642,0.0680379867554
1535301984512083053,0,0.000957012001891,0.0660679340363
1535301984521059989,0,0.000570058997255,0.0633020401001
1535301984532500028,0,0.000942946004216,0.0655879974365
1535301984540010929,0,0.000944853003602,0.0645380020142
1535301984548331975,0,0.000566005997825,0.0633208751678
1535301984573318958,0,0.000949145003688,0.0783679485321
1535301984575606107,0,0.000957964977715,0.0709209442139
1535301984579307079,0,0.000571013020817,0.0651021003723
1535301984589000940,0,0.000939845980611,0.0633628368378
1535301984598392009,0,0.000567197974306,0.063040971756
1535301984609064102,0,0.000955820025411,0.0641419887543
1535301984617815971,0,0.00103998195846,0.0632319450378
1535301984633650064,0,0.000569104973692,0.0688090324402
1535301984641069889,0,0.000948906003032,0.0652577877045
1535301984649826049,0,0.000608206028119,0.0634181499481
1535301984659271001,0,0.000997066963464,0.0634191036224
1535301984667910099,0,0.000948906003032,0.0630688667297
1535301984678029060,0,0.000616073026322,0.0627059936523
1535301984688946962,0,0.000946999003645,0.0632860660553
1535301984699688911,0,0.000572204997297,0.0642349720001
1535301984711883068,0,0.000993013032712,0.0645999908447
1535301984721035957,0,0.000940084981266,0.0643610954285
1535301984730026006,0,0.000927924993448,0.0635249614716
1535301984738670110,0,0.000567912997212,0.0632078647614
1535301984748601913,0,0.000952004978899,0.0633289813995
1535301984761641979,0,0.00094795197947,0.0657598972321
1535301984771941900,0,0.000566960021388,0.0634281635284
1535301984781719923,0,0.00100398098584,0.0642890930176
1535301984791263103,0,0.000992060056888,0.0641870498657
1535301984803592920,0,0.000956057978328,0.0667200088501
1535301984811558961,0,0.000567912997212,0.066764831543
1535301984819039106,0,0.000568867020775,0.0643107891083
1535301984827905893,0,0.000567912997212,0.0624890327454
1535301984839719057,0,0.000570058997255,0.0642151832581
1535301984847817897,0,0.000568151008338,0.0625700950623
1535301984858894109,0,0.000988960964605,0.0631678104401
1535301984867125988,0,0.000568151997868,0.0627911090851
1535301984879451036,0,0.000946043990552,0.0643920898438
1535301984893105030,0,0.000941038015299,0.0655410289764
1535301984904069900,0,0.00056695897365,0.0655539035797
1535301984914410114,0,0.000993013032712,0.0672290325165
1535301984921751022,0,0.000946998014115,0.0648839473724
1535301984930342912,0,0.000568151008338,0.0633339881897
1535301984942186117,0,0.000987053033896,0.0654890537262
1535301984947930097,0,0.00056695897365,0.0634858608246
1535301984958806037,0,0.000982046010904,0.0631520748138
1535301984969151020,0,0.000969886023086,0.0635850429535
1535301984977679014,0,0.000617981015239,0.0630021095276
1535301984988616943,0,0.000618934980594,0.0633039474487
1535301984998980998,0,0.00111198495142,0.063628911972
1535301985008981943,0,0.000997066963464,0.0634250640869
1535301985024245977,0,0.000946999003645,0.0669560432434
1535301985032260894,0,0.000946044980083,0.064768075943
1535301985040775060,0,0.000946999003645,0.0636270046234
1535301985048551082,0,0.000569820986129,0.0628459453583
1535301985059046030,0,0.000951052003074,0.0633912086487
1535301985067836046,0,0.000942945014685,0.0633220672607
1535301985077764987,0,0.000586032983847,0.063117980957
1535301985088006019,0,0.000972033012658,0.0633828639984
1535301985098025083,0,0.000659942976199,0.0631799697876
1535301985109977960,0,0.00094795197947,0.0642938613892
1535301985118798017,0,0.000948906003032,0.0633518695831
1535301985128071069,0,0.000604867993388,0.0634489059448
1535301985138293981,0,0.00102686905302,0.0634620189667
1535301985150335073,0,0.00100111996289,0.0648329257965
1535301985159519910,0,0.000571965996642,0.0630049705505
1535301985168531894,0,0.000946044980083,0.0632500648499
1535301985177330970,0,0.000571011973079,0.0627570152283
1535301985188775062,0,0.000951052003074,0.0632500648499
1535301985198018074,0,0.000612021016423,0.0631721019745
1535301985212296962,0,0.000981808057986,0.0659689903259
1535301985220359086,0,0.00101399398409,0.0644948482513
1535301985228805065,0,0.000570058007725,0.0626420974731
1535301985239130973,0,0.000946999003645,0.0635280609131
1535301985250436067,0,0.00101017905399,0.0654671192169
1535301985259216070,0,0.00094795197947,0.0634999275208
1535301985270364999,0,0.000568867020775,0.0653550624847
1535301985281593084,0,0.000977038987912,0.0646660327911
1535301985291789054,0,0.00100994098466,0.0639588832855
1535301985301318883,0,0.000958919001278,0.063668012619
1535301985311707019,0,0.000946044980083,0.0645208358765
1535301985335390090,0,0.000982998986728,0.0791299343109
1535301985339937925,0,0.000933884992264,0.0741469860077
1535301985341671943,0,0.000950097979512,0.0668950080872
1535301985351972103,0,0.00097083998844,0.0664789676666
1535301985358736991,0,0.000583886983804,0.0644040107727
1535301985368761062,0,0.000966072024312,0.0634191036224
1535301985378120899,0,0.000735997979064,0.0631740093231
1535301985390522003,0,0.000571011973079,0.0658078193665
1535301985402215957,0,0.00104904104955,0.0656418800354
1535301985411736011,0,0.000570058997255,0.0629389286041
1535301985431910037,0,0.00101685605478,0.0742168426514
1535301985434237003,0,0.00121712696273,0.0676610469818
1535301985440613985,0,0.000575066020247,0.0660150051117
1535301985447721958,0,0.000570058997255,0.0632660388947
1535301985459517002,0,0.00101590203121,0.0631639957428
1535301985467572927,0,0.000658989010844,0.0626130104065
1535301985479221105,0,0.000946044980083,0.0637910366058
